,J,Q,Delta1,Delta2,Delta3,Delta4,lambda_2,lambda_3
187,-0.1,0.75,-0.01,-2.0,0.0,4.5,(2.1000000000000005+23.50565091632223j),(2.1000000000000005-23.50565091632223j)
188,-0.1,0.75,-0.01,-2.0,0.0,6.0,(2.1000000000000005+29.32682219402573j),(2.1000000000000005-29.32682219402573j)
189,-0.1,0.75,-0.01,-1.3333333333333335,-3.0,3.0,(17.86784703122148+0j),(-13.667847031221477+0j)
190,-0.1,0.75,-0.01,-1.3333333333333335,-3.0,4.5,(2.1000000000000005+7.676058558922022j),(2.1000000000000005-7.676058558922022j)
191,-0.1,0.75,-0.01,-1.3333333333333335,-3.0,6.0,(2.1000000000000005+19.143373527150327j),(2.1000000000000005-19.143373527150327j)
192,-0.1,0.75,-0.01,-1.3333333333333335,-1.5,3.0,(2.1000000000000005+7.676058558922022j),(2.1000000000000005-7.676058558922022j)
193,-0.1,0.75,-0.01,-1.3333333333333335,-1.5,4.5,(2.1000000000000005+19.143373527150327j),(2.1000000000000005-19.143373527150327j)
194,-0.1,0.75,-0.01,-1.3333333333333335,-1.5,6.0,(2.1000000000000005+25.961810896006465j),(2.1000000000000005-25.961810896006465j)
195,-0.1,0.75,-0.01,-1.3333333333333335,0.0,3.0,(2.1000000000000005+19.143373527150327j),(2.1000000000000005-19.143373527150327j)
196,-0.1,0.75,-0.01,-1.3333333333333335,0.0,4.5,(2.1000000000000005+25.961810896006465j),(2.1000000000000005-25.961810896006465j)
197,-0.1,0.75,-0.01,-1.3333333333333335,0.0,6.0,(2.1000000000000005+31.329897861308137j),(2.1000000000000005-31.329897861308137j)
198,-0.1,0.75,-0.01,-0.6666666666666667,-3.0,3.0,(13.37497228377968+0j),(-9.174972283779681+0j)
199,-0.1,0.75,-0.01,-0.6666666666666667,-3.0,4.5,(2.1000000000000005+13.432121016429239j),(2.1000000000000005-13.432121016429239j)
